temperature_2m,relativehumidity_2m,cloudcover,windspeed_10m,shortwave_radiation,ts
22.2,70,100,31.7,0.0,2023-01-01 00:00:00
22.2,70,100,31.3,0.0,2023-01-01 01:00:00
22.4,69,100,30.8,0.0,2023-01-01 02:00:00
22.4,69,100,30.3,0.0,2023-01-01 03:00:00
22.3,74,100,31.4,0.0,2023-01-01 04:00:00
22.0,73,100,28.1,0.0,2023-01-01 05:00:00
21.8,74,100,24.3,0.0,2023-01-01 06:00:00
22.0,72,100,25.6,0.0,2023-01-01 07:00:00
22.1,70,100,23.8,0.0,2023-01-01 08:00:00
22.2,69,100,22.3,1.0,2023-01-01 09:00:00
22.6,67,100,24.1,50.0,2023-01-01 10:00:00
23.2,64,100,24.2,133.0,2023-01-01 11:00:00
23.6,65,100,12.7,206.0,2023-01-01 12:00:00
24.8,60,100,5.4,338.0,2023-01-01 13:00:00
25.1,59,100,4.1,280.0,2023-01-01 14:00:00
27.1,52,100,4.7,490.0,2023-01-01 15:00:00
27.3,52,100,5.1,391.0,2023-01-01 16:00:00
26.7,54,100,10.0,187.0,2023-01-01 17:00:00
25.6,61,100,8.9,182.0,2023-01-01 18:00:00
24.0,76,100,11.8,129.0,2023-01-01 19:00:00
23.6,74,100,7.0,128.0,2023-01-01 20:00:00
22.2,93,100,8.2,60.0,2023-01-01 21:00:00
22.6,86,100,6.1,55.0,2023-01-01 22:00:00
21.8,94,100,2.2,11.0,2023-01-01 23:00:00
20.1,90,45,3.8,0.0,2023-01-02 00:00:00
19.8,91,22,10.3,0.0,2023-01-02 01:00:00
19.6,92,27,15.8,0.0,2023-01-02 02:00:00
19.4,93,58,18.8,0.0,2023-01-02 03:00:00
19.1,94,100,19.5,0.0,2023-01-02 04:00:00
19.3,90,100,21.5,0.0,2023-01-02 05:00:00
18.8,90,26,19.8,0.0,2023-01-02 06:00:00
17.6,93,73,21.2,0.0,2023-01-02 07:00:00
17.3,92,100,24.5,0.0,2023-01-02 08:00:00
17.5,89,100,27.7,1.0,2023-01-02 09:00:00
17.6,85,40,27.4,37.0,2023-01-02 10:00:00
